Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
23.55,14.8461,15,16.1261,10,57.7369,5,0
23.6,14.8491,15,16.1261,10,57.5983,5,0
23.65,14.8518,15,16.1261,10,57.4668,5,0
23.7,14.8545,15,16.1261,10,57.3421,5,0
23.75,14.857,15,16.1261,10,57.2238,5,0
23.8,14.8593,15,16.1261,10,57.1117,5,0
23.85,14.8616,15,16.1261,10,57.0052,5,0
23.9,14.8637,15,16.1261,10,56.9043,5,0
23.95,14.8657,15,16.1261,10,56.8086,5,0
24,14.8676,15,16.1261,10,56.7178,5,0
24.05,14.8694,15,16.1261,10,56.6316,5,0
24.1,14.8712,15,16.1261,10,56.55,5,0
24.15,14.8728,15,16.1261,10,56.4725,5,0
24.2,14.8743,15,16.1261,10,56.399,5,0
24.25,14.8758,15,16.1261,10,56.3293,5,0
24.3,14.8772,15,16.1261,10,56.2631,5,0
24.35,14.8785,15,16.1261,10,56.2004,5,0
24.4,14.8798,15,16.1261,10,56.1409,5,0
24.45,14.881,15,16.1261,10,56.0845,5,0
24.5,14.8821,15,16.1261,10,56.031,5,0
24.55,14.8832,15,16.1261,10,55.9802,5,0
24.6,14.8842,15,16.1261,10,55.932,5,0
24.65,14.8851,15,16.1261,10,55.8864,5,0
24.7,14.8861,15,16.1261,10,55.843,5,0
24.75,14.8869,15,16.1261,10,55.802,5,0
24.8,14.8877,15,16.1261,10,55.763,5,0
24.85,14.8885,15,16.1261,10,55.726,5,0
24.9,14.8893,15,16.1261,10,55.6909,5,0
24.95,14.89,15,16.1261,10,55.6577,5,0
25,14.8906,15,16.1261,10,55.6261,5,0
25.05,14.8913,15,16.1261,10,55.5962,5,0
25.1,14.8919,15,16.1261,10,55.5678,5,0
25.15,14.8924,15,16.1261,10,55.5409,5,0
25.2,14.893,15,16.1261,10,55.5154,5,0
25.25,14.8935,15,16.1261,10,55.4912,5,0
25.3,14.894,15,16.1261,10,55.4682,5,0
25.35,14.8944,15,16.1261,10,55.4464,5,0
25.4,14.8967,15,16.1631,11,57.0886,5,0
25.45,14.8989,15,16.1631,11,56.9859,5,0
25.5,14.9009,15,16.1631,11,56.8884,5,0
25.55,14.9029,15,16.1631,11,56.796,5,0
25.6,14.9047,15,16.1631,11,56.7083,5,0
25.65,14.9065,15,16.1631,11,56.6251,5,0
25.7,14.9081,15,16.1631,11,56.5463,5,0
25.75,14.9097,15,16.1631,11,56.4714,5,0
25.8,14.9112,15,16.1631,11,56.4005,5,0
25.85,14.9126,15,16.1631,11,56.3331,5,0
25.9,14.914,15,16.1631,11,56.2693,5,0
25.95,14.9152,15,16.1631,11,56.2087,5,0
26,14.9165,15,16.1631,11,56.1513,5,0
26.05,14.9176,15,16.1631,11,56.0968,5,0
26.1,14.9187,15,16.1631,11,56.0451,5,0
26.15,14.9197,15,16.1631,11,55.9961,5,0
26.2,14.9207,15,16.1631,11,55.9496,5,0
26.25,14.9216,15,16.1631,11,55.9055,5,0
